-8.69962;0.429667;0.359999;0.36;5.3792;11.1392;183;1.9724;1.9724;0.01524;3.15599;183;1.99972;1.99972;1.54741e-05;0.319955;183;
9.84844;-0.39924;0.399999;0.4;5.12;11.52;183;1.97351;1.97351;0.014034;3.15776;183;1.99973;1.99973;1.42814e-05;0.319957;183;
-7.08475;8.98685;0.44;0.44;4.8672;11.9072;183;1.97459;1.97459;0.0129151;3.15947;183;1.99974;1.99974;1.31208e-05;0.319959;183;
8.9672;-1.98499;0.480002;0.48;4.62079;12.3008;183;1.97563;1.97563;0.0118751;3.16113;183;1.99975;1.99975;1.20758e-05;0.319961;183;
-3.88231;3.55022;0.520001;0.52;4.3808;12.7008;185;1.97665;1.97664;0.010909;3.16274;185;1.99977;1.99976;1.10002e-05;0.319962;185;
2.37832;-7.73117;0.560001;0.559998;4.1472;13.1072;183;1.97763;1.97762;0.0100127;3.1643;183;1.99978;1.99978;1.00996e-05;0.319964;183;
9.62297;8.86538;0.6;0.6;3.92;13.52;183;1.97858;1.97858;0.00917951;3.16581;341;1.99978;1.99978;9.2644e-06;0.319966;183;
-4.23918;7.9507;0.64;0.64;3.6992;13.9392;183;1.9795;1.9795;0.00840576;3.16728;183;1.99979;1.99979;8.47356e-06;0.319967;183;
0.80225;7.86514;0.68;0.680001;3.4848;14.3648;183;1.98039;1.9804;0.00768696;3.16871;185;1.9998;1.9998;7.78236e-06;0.319968;185;
0.406706;1.61049;0.72;0.72;3.2768;14.7968;193;1.98126;1.98126;0.00702025;3.17009;189;1.99981;1.99981;7.09522e-06;0.31997;189;
-4.69143;6.5701;0.760001;0.76;3.0752;15.2352;185;1.98211;1.98211;0.00640173;3.17144;341;1.99982;1.99982;6.49142e-06;0.319971;183;
-8.52158;5.28092;0.800001;0.8;2.88;15.68;183;1.98293;1.98293;0.00582751;3.17275;183;1.99983;1.99983;5.91965e-06;0.319972;183;
-9.44159;4.76169;0.840001;0.84;2.6912;16.1312;183;1.98373;1.98373;0.00529543;3.17402;181;1.99984;1.99984;5.35212e-06;0.319974;181;
2.35988;-2.76484;0.88;0.88;2.5088;16.5888;347;1.9845;1.9845;0.00480215;3.17526;185;1.99984;1.99984;4.86139e-06;0.319975;185;
2.85125;-7.85534;0.92;0.919999;2.3328;17.0528;183;1.98526;1.98526;0.00434542;3.17646;183;1.99985;1.99985;4.39046e-06;0.319976;183;
-7.33478;4.49872;0.959999;0.96;2.1632;17.5232;183;1.986;1.98599;0.00392272;3.17763;183;1.99986;1.99986;3.97969e-06;0.319977;183;
6.32096;-2.79515;1;1;2;18;185;1.98671;1.98671;0.00353215;3.17877;185;1.99987;1.99987;3.54038e-06;0.319979;185;
-2.53267;-6.39405;1.04;1.04;1.84319;18.4832;183;1.98741;1.98741;0.00317091;3.17989;183;1.99987;1.99987;3.21899e-06;0.31998;183;
8.64365;3.12525;1.08;1.08;1.6928;18.9728;183;1.98809;1.98809;0.00283834;3.18097;183;1.99988;1.99988;2.87332e-06;0.319981;183;
-7.7976;6.12724;1.12;1.12;1.5488;19.4688;183;1.98875;1.98875;0.00253136;3.18202;183;1.99989;1.99989;2.56362e-06;0.319982;183;
9.19398;-9.36929;1.16;1.16;1.4112;19.9712;183;1.98939;1.9894;0.00224935;3.18305;181;1.99989;1.99989;2.25617e-06;0.319983;181;
5.09827;9.69333;1.2;1.2;1.28;20.48;183;1.99002;1.99002;0.00199015;3.18406;183;1.9999;1.9999;1.95304e-06;0.319984;183;
1.51364;9.72849;1.24;1.24;1.1552;20.9952;183;1.99064;1.99064;0.00175237;3.18504;183;1.99991;1.99991;1.73387e-06;0.319985;183;
